Year,Pitcher,League,Type,Wins,Win pct,Saves,ERA,Strikeouts,Innings pitched,Cy Young
1990,B. Welch,AL,Starter,27,0.818,1,2.95,127,238,1
1990,D. Stewart,AL,Starter,22,0.667,1,2.56,166,267,0
1990,B. Thigpen,AL,Reliever,4,0.4,57,1.83,70,89,0
1990,D. Eckersley,AL,Reliever,4,0.667,48,0.61,73,73,0
1991,J. Smiley,NL,Starter,20,0.714,1,3.08,129,208,0
1991,T. Glavine,NL,Starter,20,0.655,1,2.55,192,247,1
1991,L. Smith,NL,Reliever,6,0.667,47,2.34,67,73,0
1991,R. Dibble,NL,Reliever,3,0.375,31,3.17,124,82,0
1991,Gullickson,AL,Starter,20,0.69,1,3.9,91,226,0
1991,D. Erickson,AL,Starter,20,0.714,1,3.18,101,212,0
1991,R. Clemens,AL,Starter,19,0.643,1,2.41,241,271,1
1991,B. Harvey,AL,Reliever,2,0.333,45,1.6,101,78,0
1991,D. Eckersley,AL,Reliever,5,0.556,41,1.91,93,80,0
1992,G. Maddux,NL,Starter,20,0.645,1,2.18,199,268,1
1992,T. Glavine,NL,Starter,20,0.714,1,2.76,129,225,0
1992,L. Smith,NL,Reliever,4,0.308,43,3.12,60,75,0
1992,R. Myers,NL,Reliever,3,0.333,38,4.29,66,80,0
1992,J. Morris,AL,Starter,21,0.778,1,4.04,132,241,0
1992,K. Brown,AL,Starter,21,0.656,1,3.32,173,266,0
1992,D. Eckersley,AL,Reliever,7,0.875,51,1.91,93,80,1
1992,R. Aguilera,AL,Reliever,2,0.25,41,2.84,52,67,0
