Show,Type,Revival,NYT rating,DN rating,Week 1 attendance,Award,Count
The Diary of Anne Frank,Play,Yes,1.66667,3.33333,71.75,Losing nomination,2
The Diary of Anne Frank,Play,Yes,1.66667,3.33333,71.75,Win,0
The Gershwin's Fascinating Rhythm,Musical revue,No,1,1.66667,60.59,No nomination,6
The Gershwin's Fascinating Rhythm,Musical revue,No,1,1.66667,60.59,Losing nomination,0
The Gershwin's Fascinating Rhythm,Musical revue,No,1,1.66667,60.59,Win,0
The Gin Game,Play,Yes,4.66667,5,71.9,No nomination,3
The Gin Game,Play,Yes,4.66667,5,71.9,Losing nomination,3
The Gin Game,Play,Yes,4.66667,5,71.9,Win,0
The Herbal Bed,Play,No,2,1.66667,29.35,No nomination,6
The Herbal Bed,Play,No,2,1.66667,29.35,Losing nomination,0
The Herbal Bed,Play,No,2,1.66667,29.35,Win,0
The Iceman Cometh,Play,Yes,4,5,99.94,No nomination,3
The Iceman Cometh,Play,Yes,4,5,99.94,Losing nomination,3
The Iceman Cometh,Play,Yes,4,5,99.94,Win,0
The Judas Kiss,Play,No,1.66667,3.66667,79.69,No nomination,6
The Judas Kiss,Play,No,1.66667,3.66667,79.69,Losing nomination,0
The Judas Kiss,Play,No,1.66667,3.66667,79.69,Win,0
The Last Night of Ballyhoo,Play,No,3,4.33333,81.39,No nomination,2
The Last Night of Ballyhoo,Play,No,3,4.33333,81.39,Losing nomination,3
The Last Night of Ballyhoo,Play,No,3,4.33333,81.39,Win,1
The Life,Musical,No,2.33333,2,44.08,No nomination,0
The Life,Musical,No,2.33333,2,44.08,Losing nomination,4
The Life,Musical,No,2.33333,2,44.08,Win,2
The Lion in Winter,Play,Yes,2,1.66667,92.21,No nomination,5
The Lion in Winter,Play,Yes,2,1.66667,92.21,Losing nomination,1
The Lion in Winter,Play,Yes,2,1.66667,92.21,Win,0
The Lion King,Musical,No,3.33333,5,96.63,No nomination,2
The Lion King,Musical,No,3.33333,5,96.63,Losing nomination,2
The Lion King,Musical,No,3.33333,5,96.63,Win,2
The Little Foxes,Play,Yes,1.66667,2,74.4,No nomination,5
The Little Foxes,Play,Yes,1.66667,2,74.4,Losing nomination,1
The Little Foxes,Play,Yes,1.66667,2,74.4,Win,0
The Lonesome West,Play,No,2.66667,5,42.33,No nomination,2
The Lonesome West,Play,No,2.66667,5,42.33,Losing nomination,4
The Lonesome West,Play,No,2.66667,5,42.33,Win,0
The Old Neighborhood,Play,No,5,3,83.91,No nomination,6
The Old Neighborhood,Play,No,5,3,83.91,Losing nomination,0
The Old Neighborhood,Play,No,5,3,83.91,Win,0
The Rehearsal,Play,Yes,2,1.33333,73.85,No nomination,6
The Rehearsal,Play,Yes,2,1.33333,73.85,Losing nomination,0
The Rehearsal,Play,Yes,2,1.33333,73.85,Win,0
The Scarlet Pimpernel,Musical,No,2,2.66667,92.78,No nomination,4
The Scarlet Pimpernel,Musical,No,2,2.66667,92.78,Losing nomination,2
The Scarlet Pimpernel,Musical,No,2,2.66667,92.78,Win,0
The Sound of Music,Musical,Yes,2.66667,2,87.43,No nomination,5
The Sound of Music,Musical,Yes,2.66667,2,87.43,Losing nomination,1
The Sound of Music,Musical,Yes,2.66667,2,87.43,Win,0
The Sunshine Boys,Play,Yes,4.33333,5,65.21,No nomination,6
The Sunshine Boys,Play,Yes,4.33333,5,65.21,Losing nomination,0
The Sunshine Boys,Play,Yes,4.33333,5,65.21,Win,0
The Three Sisters (1),Play,Yes,4.66667,1.66667,,No nomination,6
The Three Sisters (1),Play,Yes,4.66667,1.66667,,Losing nomination,0
The Three Sisters (1),Play,Yes,4.66667,1.66667,,Win,0
The Three Sisters (2),Play,Yes,3,1.66667,100,No nomination,6
The Three Sisters (2),Play,Yes,3,1.66667,100,Losing nomination,0
The Three Sisters (2),Play,Yes,3,1.66667,100,Win,0
The Weir,Play,No,5,4.66667,91.91,No nomination,6
The Weir,Play,No,5,4.66667,91.91,Losing nomination,0
The Weir,Play,No,5,4.66667,91.91,Win,0
The Young Man From Atlanta,Play,No,3.33333,5,56.99,No nomination,3
The Young Man From Atlanta,Play,No,3.33333,5,56.99,Losing nomination,3
The Young Man From Atlanta,Play,No,3.33333,5,56.99,Win,0
Titanic,Musical,No,2,3,71.26,No nomination,5
Titanic,Musical,No,2,3,71.26,Losing nomination,0
Titanic,Musical,No,2,3,71.26,Win,1
Triumph of Love,Musical,No,2,4.33333,77.28,No nomination,5
Triumph of Love,Musical,No,2,4.33333,77.28,Losing nomination,1
Triumph of Love,Musical,No,2,4.33333,77.28,Win,0
Twelfth Night,Play,Yes,3,5,97.47,No nomination,5
Twelfth Night,Play,Yes,3,5,97.47,Losing nomination,1
Twelfth Night,Play,Yes,3,5,97.47,Win,0
Wait Until Dark,Play,Yes,1.66667,1,92.44,No nomination,6
Wait Until Dark,Play,Yes,1.66667,1,92.44,Losing nomination,0
Wait Until Dark,Play,Yes,1.66667,1,92.44,Win,0
You're a Good Man Charlie Brown,Musical,Yes,2,2,54.05,No nomination,2
You're a Good Man Charlie Brown,Musical,Yes,2,2,54.05,Losing nomination,2
You're a Good Man Charlie Brown,Musical,Yes,2,2,54.05,Win,2
1776,Musical,Yes,4.33333,5,99.15,No nomination,3
1776,Musical,Yes,4.33333,5,99.15,Losing nomination,3
1776,Musical,Yes,4.33333,5,99.15,Win,0
