Player,Number seasons,Games played,At bats,Runs,Hits,Doubles,Triples,Home runs,RBIs,Walks,Strikeouts,Batting average,On base pct,Slugging pct,Fielding ave,Position,Hall of Fame
BOB BARTON,10,393,1049,54,237,31,3,9,66,87,168,0.226,0.288,0.287,0.987,Catcher,0
JOHN BATEMAN,10,1017,3330,250,765,123,18,81,375,172,610,0.23,0.273,0.35,0.982,Catcher,0
EARL BATTEY,13,1141,3586,393,969,150,17,104,449,421,470,0.27,0.351,0.409,0.99,Catcher,0
MATT BATTS,10,546,1605,163,432,95,11,26,220,143,163,0.269,0.33,0.391,0.983,Catcher,0
HANK BAUER,14,1544,5145,833,1424,229,57,164,703,521,638,0.277,0.347,0.439,0.982,Outfield,0
FRANK BAUMHOLTZ,10,1019,3477,450,1010,165,51,25,272,258,258,0.29,0.342,0.389,0.98,Outfield,0
DON BAYLOR,19,2292,8198,1236,2135,366,28,338,1276,805,1069,0.26,0.346,0.436,0.977,Designated hitter,0
JIM BEAUCHAMP,10,393,661,79,153,18,4,14,90,54,150,0.231,0.292,0.334,0.98,First base,0
GINGER BEAUMONT,12,1463,5660,955,1759,182,82,39,617,425,14,0.311,0.362,0.393,0.956,Outfield,0
GLENN BECKERT,11,1320,5208,685,1473,196,31,22,360,260,243,0.283,0.319,0.345,0.973,Second base,0
JAKE BECKLEY,20,2386,9526,1600,2930,473,243,86,1575,616,270,0.308,0.361,0.435,0.981,First base,2
MARK BELANGER,18,2016,5784,676,1316,175,33,20,389,576,839,0.228,0.302,0.28,0.977,Shortstop,0
BUDDY BELL,18,2405,8995,1151,2514,425,56,201,1106,836,776,0.279,0.343,0.406,0.964,Third base,0
GUS BELL,15,1741,6478,865,1823,311,66,206,942,470,636,0.281,0.333,0.445,0.985,Outfield,0
JOHNNY BENCH,17,2158,7658,1091,2048,381,24,389,1376,891,1278,0.267,0.345,0.476,0.99,Catcher,1
BRUCE BENEDICT,12,982,2878,214,696,98,6,18,260,328,251,0.242,0.322,0.299,0.99,Catcher,0
BENNY BENGOUGH,10,411,1125,83,287,46,12,0,108,62,45,0.255,0.295,0.317,0.988,Catcher,0
JUAN BENIQUEZ,17,1500,4651,610,1274,190,30,79,476,349,551,0.274,0.329,0.379,0.977,Outfield,0
CHARLIE BENNETT,15,1062,3821,549,978,203,67,55,533,478,572,0.256,0.34,0.387,0.942,Catcher,0
JOHNNY BERARDINO,11,912,3028,334,755,167,23,36,387,284,268,0.249,0.316,0.355,0.968,Second base,0
MOE BERG,15,663,1813,150,441,71,6,6,206,78,117,0.243,0.278,0.299,0.986,Catcher,0
BILL BERGEN,11,947,3028,138,516,45,21,2,193,88,81,0.17,0.194,0.201,0.972,Catcher,0
WALLY BERGER,11,1350,5163,809,1550,299,59,242,898,435,694,0.3,0.359,0.522,0.974,Outfield,0
DAVE BERGMAN,17,1349,2679,312,690,100,16,54,289,380,347,0.258,0.351,0.367,0.992,First base,0
TONY BERNAZARD,10,1071,3700,523,970,177,30,75,391,428,606,0.262,0.341,0.387,0.978,Second base,0
DALE BERRA,11,853,2553,236,603,109,9,49,278,210,422,0.236,0.297,0.344,0.959,Shortstop,0
YOGI BERRA,19,2120,7555,1175,2150,321,49,358,1430,704,414,0.285,0.35,0.482,0.989,Catcher,1
RAY BERRES,11,561,1330,96,287,37,3,3,78,76,134,0.216,0.26,0.255,0.989,Catcher,0
KEN BERRY,14,1383,4136,422,1053,150,23,58,343,298,569,0.255,0.309,0.344,0.989,Outfield,0
CHARLIE BERRY,11,709,2018,196,539,88,29,23,256,160,196,0.267,0.322,0.374,0.982,Catcher,0
RENO BERTOIA,10,612,1745,204,425,60,10,27,171,142,252,0.244,0.306,0.336,0.949,Third base,0
BOB BESCHER,11,1228,4536,749,1171,190,74,28,345,619,451,0.258,0.353,0.351,0.96,Outfield,0
KURT BEVACQUA,15,970,2117,214,499,90,11,27,275,221,329,0.236,0.309,0.327,0.938,Third base,0
LOU BIERBAUER,13,1383,5706,819,1521,208,95,33,706,268,129,0.267,0.301,0.354,0.935,Second base,0
CARSON BIGBEE,11,1147,4192,629,1205,139,75,17,324,344,161,0.287,0.345,0.369,0.966,Outfield,0
LARRY BIITTNER,14,1217,3151,310,861,144,20,29,354,236,287,0.273,0.326,0.359,0.97,Outfield,0
STEVE BILKO,10,600,1738,220,432,85,13,76,276,234,395,0.249,0.339,0.444,0.992,First base,0
JOSH BILLINGS,11,243,488,44,106,12,5,0,29,23,73,0.217,0.268,0.262,0.964,Catcher,0
MAX BISHOP,12,1338,4494,966,1216,236,35,41,379,1153,452,0.271,0.423,0.366,0.976,Second base,0
RAY BLADES,10,767,2415,467,726,133,51,50,340,331,310,0.301,0.395,0.46,0.963,Outfield,0
PAUL BLAIR,17,1947,6042,776,1513,282,55,134,620,449,877,0.25,0.305,0.382,0.988,Outfield,0
DON BLASINGAME,12,1444,5296,731,1366,178,62,21,308,552,462,0.258,0.33,0.327,0.979,Second base,0
JIMMY BLOODWORTH,11,1002,3519,347,874,160,20,62,451,202,407,0.248,0.292,0.358,0.975,Second base,0
LU BLUE,13,1615,5904,1151,1696,319,109,44,695,1092,436,0.287,0.402,0.401,0.989,First base,0
OSSIE BLUEGE,18,1867,6440,883,1751,276,67,43,848,723,515,0.272,0.352,0.356,0.957,Third base,0
JOHN BOCCABELLA,12,551,1462,117,320,56,5,26,148,96,246,0.219,0.269,0.317,0.984,Catcher,0
BRUCE BOCHTE,12,1538,5233,643,1478,250,21,100,658,653,662,0.282,0.363,0.396,0.992,First base,0
FRANK BOLLING,12,1540,5562,692,1415,221,40,106,556,462,558,0.254,0.315,0.366,0.982,Second base,0
BOBBY BONDS,14,1849,7043,1258,1886,302,66,332,1024,914,1757,0.268,0.356,0.471,0.977,Outfield,0
BARRY BONNELL,10,976,3068,363,833,143,24,56,355,229,387,0.272,0.325,0.389,0.982,Outfield,0
RAY BOONE,13,1373,4589,645,1260,162,46,151,737,608,463,0.275,0.363,0.429,0.958,Third base,0
BOB BOONE,19,2264,7245,679,1838,303,26,105,826,663,608,0.254,0.318,0.346,0.986,Catcher,0
FRENCHY BORDAGARAY,11,930,2632,410,745,120,28,14,270,173,186,0.283,0.331,0.366,0.982,Outfield,0
THAD BOSLEY,14,784,1581,183,430,50,12,20,158,143,275,0.272,0.333,0.357,0.972,Outfield,0
KEN BOSWELL,11,930,2517,266,625,91,19,31,244,240,239,0.248,0.316,0.337,0.979,Second base,0
JIM BOTTOMLEY,16,1991,7471,1177,2313,465,151,219,1422,664,591,0.31,0.369,0.5,0.988,First base,2
LOU BOUDREAU,15,1646,6029,861,1779,385,66,68,789,796,309,0.295,0.38,0.415,0.973,Shortstop,1
LARRY BOWA,16,2247,8418,987,2191,262,99,15,525,474,569,0.26,0.301,0.32,0.98,Shortstop,0
FRANK BOWERMAN,15,1045,3401,343,852,102,38,13,392,129,0,0.251,0.286,0.314,0.963,Catcher,0
CLETE BOYER,16,1725,5780,645,1396,200,33,162,654,470,931,0.242,0.301,0.372,0.965,Third base,0
KEN BOYER,15,2034,7455,1104,2143,318,68,282,1141,713,1017,0.287,0.351,0.462,0.952,Third base,0
JACK BOYLE,13,1086,4222,668,1067,137,53,24,528,328,233,0.253,0.315,0.32,0.929,Catcher,0
BUDDY BRADFORD,11,697,1605,224,363,50,8,52,175,184,411,0.226,0.313,0.364,0.971,Outfield,0
BILL BRADLEY,14,1461,5430,754,1471,275,84,33,552,290,18,0.271,0.317,0.371,0.933,Third base,0
JACKIE BRANDT,11,1221,3895,540,1020,175,37,112,485,351,574,0.262,0.325,0.412,0.98,Outfield,0
KITTY BRANSFIELD,12,1330,4999,529,1351,225,75,13,637,221,41,0.27,0.304,0.353,0.983,First base,0
STEVE BRAUN,15,1425,3650,466,989,155,19,52,388,579,433,0.271,0.373,0.367,0.973,Outfield,0
ROGER BRESNAHAN,17,1446,4481,682,1252,218,71,26,530,714,99,0.279,0.385,0.377,0.971,Catcher,2
RUBE BRESSLER,19,1305,3881,544,1170,164,87,32,586,449,246,0.301,0.378,0.413,0.971,Outfield,0
EDDIE BRESSOUD,12,1186,3672,443,925,184,40,94,365,359,723,0.252,0.321,0.401,0.963,Shortstop,0
ROCKY BRIDGES,11,919,2272,245,562,80,11,16,187,205,229,0.247,0.312,0.313,0.968,Shortstop,0
AL BRIDWELL,11,1252,4169,457,1064,95,32,2,348,557,98,0.255,0.347,0.295,0.939,Shortstop,0
JOHN BRIGGS,12,1366,4117,601,1041,170,43,139,507,663,785,0.253,0.357,0.416,0.973,Outfield,0
ED BRINKMAN,15,1845,6045,550,1355,201,38,60,461,444,845,0.224,0.282,0.3,0.97,Shortstop,0
GREG BROCK,10,1013,3202,420,794,141,6,110,462,434,469,0.248,0.34,0.399,0.994,First base,0
LOU BROCK,19,2616,10332,1610,3023,486,141,149,900,761,1730,0.293,0.344,0.41,0.959,Outfield,1
STEVE BRODIE,12,1437,5699,886,1726,191,89,25,900,420,148,0.303,0.364,0.381,0.959,Outfield,0
TOM BROOKENS,12,1336,3865,477,950,175,40,71,431,281,605,0.246,0.299,0.367,0.943,Third base,0
DAN BROUTHERS,19,1673,6711,1523,2296,460,205,106,1296,840,238,0.342,0.423,0.519,0.971,First base,2
LARRY BROWN,12,1129,3449,331,803,108,13,47,254,317,414,0.233,0.301,0.313,0.964,Shortstop,0
OLLIE BROWN,13,1221,3642,404,964,144,11,102,454,314,616,0.265,0.326,0.394,0.977,Outfield,0
TOM BROWN,17,1786,7363,1521,1952,239,138,64,529,748,708,0.265,0.337,0.361,0.89,Outfield,0
GATES BROWN,13,1051,2262,330,582,78,19,84,322,242,275,0.257,0.333,0.42,0.977,Outfield,0
GEORGE BROWNE,12,1102,4300,614,1176,119,55,18,303,259,1,0.273,0.317,0.339,0.927,Outfield,0
PETE BROWNING,13,1183,4820,954,1646,295,85,46,353,466,167,0.341,0.403,0.467,0.883,Outfield,0
BILL BRUBAKER,10,479,1564,208,413,85,10,22,225,151,239,0.264,0.333,0.373,0.938,Third base,0
BILL BRUTON,12,1610,6056,937,1651,241,102,94,545,482,793,0.273,0.329,0.393,0.981,Outfield,0
BILL BUCKNER,22,2517,9397,1077,2715,498,49,174,1208,450,453,0.289,0.324,0.408,0.992,First base,0
DON BUFORD,10,1286,4553,718,1203,157,44,93,418,672,575,0.264,0.364,0.379,0.988,Outfield,0
AL BUMBRY,14,1496,5053,778,1422,220,52,54,402,471,709,0.281,0.345,0.378,0.986,Outfield,0
JACK BURDOCK,14,960,3873,578,944,131,40,15,390,128,305,0.244,0.27,0.31,0.912,Second base,0
SMOKY BURGESS,18,1691,4471,485,1318,230,33,126,673,477,270,0.295,0.364,0.446,0.988,Catcher,0
JESSE BURKETT,16,2066,8421,1720,2850,320,182,75,952,1029,230,0.338,0.415,0.446,0.917,Outfield,2
RICK BURLESON,13,1346,5139,656,1401,256,23,50,449,420,477,0.273,0.331,0.361,0.971,Shortstop,0
GEORGE-TIOGA BURNS,16,1866,6573,901,2018,444,72,72,951,363,433,0.307,0.354,0.429,0.987,First base,0
GEORGE BURNS,15,1853,7241,1188,2077,362,108,41,611,872,565,0.287,0.366,0.384,0.97,Outfield,0
TOM BURNS,13,1251,4920,722,1299,236,69,39,683,270,454,0.264,0.303,0.364,0.886,Third base,0
OYSTER BURNS,11,1187,4637,869,1389,224,129,65,673,464,182,0.3,0.368,0.446,0.92,Outfield,0
JEFF BURROUGHS,16,1689,5536,720,1443,230,20,240,882,831,1135,0.261,0.359,0.439,0.974,Outfield,0
JIM BUSBY,13,1352,4250,541,1113,162,35,48,438,310,439,0.262,0.316,0.35,0.988,Outfield,0
DONIE BUSH,16,1946,7210,1280,1804,186,74,9,436,1158,346,0.25,0.356,0.3,0.936,Shortstop,0
DOC BUSHONG,12,671,2392,287,511,58,12,2,106,124,97,0.214,0.254,0.25,0.916,Catcher,0
BOBBY BYRNE,11,1283,4831,667,1225,186,60,10,329,456,220,0.254,0.324,0.323,0.934,Third base,0
ENOS CABELL,15,1688,5952,753,1647,263,56,60,596,259,691,0.277,0.309,0.37,0.944,Third base,0
NIXEY CALLAHAN,13,923,3295,442,901,135,46,11,394,159,9,0.273,0.311,0.352,0.953,Outfield,0
JOHNNY CALLISON,16,1886,6652,926,1757,321,89,226,840,650,1064,0.264,0.333,0.441,0.984,Outfield,0
DOLPH CAMILLI,12,1490,5353,936,1482,261,86,239,950,947,961,0.277,0.388,0.492,0.99,First base,0
ROY CAMPANELLA,10,1215,4205,627,1161,178,18,242,856,533,501,0.276,0.362,0.5,0.988,Catcher,1
BERT CAMPANERIS,19,2328,8684,1181,2249,313,86,79,646,618,1142,0.259,0.313,0.342,0.964,Shortstop,0
BRUCE CAMPBELL,13,1360,4762,759,1382,295,87,106,766,548,584,0.29,0.367,0.455,0.956,Outfield,0
CHRIS CANNIZZARO,13,740,1950,132,458,66,12,18,169,241,354,0.235,0.321,0.309,0.983,Catcher,0
BERNIE CARBO,12,1010,2733,372,722,140,9,96,358,538,611,0.264,0.389,0.427,0.978,Outfield,0
JOSE CARDENAL,18,2017,6964,936,1913,333,46,138,775,608,807,0.275,0.335,0.395,0.976,Outfield,0
LEO CARDENAS,16,1941,6707,662,1725,285,49,118,689,522,1135,0.257,0.313,0.367,0.971,Shortstop,0
ROD CAREW,19,2469,9315,1424,3053,445,112,92,1015,1018,1028,0.328,0.395,0.429,0.991,First base,1
ANDY CAREY,11,938,2850,371,741,119,38,64,350,268,389,0.26,0.329,0.396,0.958,Third base,0
MAX CAREY,20,2476,9363,1545,2665,419,159,70,800,1040,695,0.285,0.361,0.386,0.966,Outfield,2
HICK CARPENTER,12,1118,4638,720,1201,142,47,18,204,111,91,0.259,0.281,0.321,0.853,Third base,0
CHICO CARRASQUEL,10,1325,4644,568,1199,172,25,55,474,491,467,0.258,0.334,0.342,0.969,Shortstop,0
BILL CARRIGAN,10,709,1970,194,506,67,14,6,235,206,59,0.257,0.334,0.314,0.971,Catcher,0
CLIFF CARROLL,11,991,3972,729,995,125,47,31,423,361,290,0.251,0.32,0.329,0.905,Outfield,0
GARY CARTER,19,2296,7971,1025,2092,371,31,324,1225,848,997,0.262,0.338,0.439,0.991,Catcher,0
RICO CARTY,15,1651,5606,712,1677,278,17,204,890,642,663,0.299,0.372,0.464,0.97,Outfield,0
BOB CARUTHERS,10,705,2465,508,694,104,50,29,213,417,79,0.282,0.391,0.4,0.875,Outfield,0
PAUL CASANOVA,10,859,2786,214,627,87,12,50,252,101,430,0.225,0.254,0.319,0.985,Catcher,0
GEORGE CASE,11,1226,5016,785,1415,233,43,21,377,426,297,0.282,0.341,0.358,0.97,Outfield,0
DOC CASEY,10,1114,4341,584,1122,137,52,9,354,270,.,0.258,0.31,0.32,0.915,Third base,0
DAVE CASH,12,1422,5554,732,1571,243,56,21,426,424,309,0.283,0.336,0.358,0.984,Second base,0
NORM CASH,17,2089,6705,1046,1820,241,41,377,1103,1043,1091,0.271,0.377,0.488,0.992,First base,0
JOHN CASSIDY,10,587,2454,336,618,83,31,4,156,84,127,0.252,0.278,0.316,0.845,Outfield,0
CARMEN CASTILLO,10,631,1519,190,383,71,8,55,197,90,291,0.252,0.3,0.418,0.953,Outfield,0
DANNY CATER,12,1289,4451,491,1229,191,29,66,519,254,406,0.276,0.318,0.377,0.994,First base,0
WAYNE CAUSEY,11,1105,3244,357,819,130,26,35,285,390,341,0.252,0.335,0.341,0.969,Shortstop,0
PHIL CAVARRETTA,22,2030,6754,990,1977,347,99,95,920,820,598,0.293,0.372,0.416,0.99,First base,0
CESAR CEDENO,17,2006,7310,1084,2087,436,60,199,976,664,938,0.285,0.35,0.443,0.985,Outfield,0
ORLANDO CEPEDA,17,2124,7927,1131,2351,417,27,379,1365,588,1169,0.297,0.353,0.499,0.99,First base,2
RICK CERONE,18,1329,4069,393,998,190,15,59,436,320,450,0.245,0.304,0.343,0.99,Catcher,0
BOB CERV,12,829,2261,320,624,96,26,105,374,212,392,0.276,0.343,0.481,0.976,Outfield,0
RON CEY,17,2073,7162,977,1868,328,21,316,1139,1012,1235,0.261,0.357,0.445,0.961,Third base,0
CHRIS CHAMBLISS,17,2175,7571,912,2109,392,42,185,972,632,926,0.279,0.336,0.415,0.993,First base,0
FRANK CHANCE,17,1287,4297,797,1273,200,79,20,596,554,29,0.296,0.394,0.394,0.987,First base,2
DARREL CHANEY,11,915,2113,237,458,75,17,14,190,238,471,0.217,0.297,0.288,0.959,Shortstop,0
SAM CHAPMAN,11,1368,4988,754,1329,210,52,180,773,562,682,0.266,0.342,0.438,0.972,Outfield,0
BEN CHAPMAN,15,1717,6478,1144,1958,407,107,90,977,824,556,0.302,0.383,0.44,0.967,Outfield,0
HAL CHASE,15,1919,7417,980,2158,322,124,57,941,276,306,0.291,0.319,0.391,0.98,First base,0
CUPID CHILDS,13,1456,5618,1214,1720,205,100,20,654,991,117,0.306,0.416,0.389,0.93,Second base,0
HARRY CHITI,10,502,1495,135,356,49,9,41,179,115,242,0.238,0.296,0.365,0.983,Catcher,0
GINO CIMOLI,10,969,3054,370,808,133,48,44,321,221,474,0.265,0.317,0.383,0.974,Outfield,0
JACK CLARK,18,1994,6847,1118,1826,332,39,340,1180,1262,1441,0.267,0.383,0.476,0.978,Outfield,0
FRED CLARKE,21,2242,8568,1619,2672,361,220,67,1015,874,135,0.312,0.386,0.429,0.952,Outfield,2
HORACE CLARKE,10,1272,4813,548,1230,150,23,27,304,365,362,0.256,0.31,0.313,0.983,Second base,0
TOMMY CLARKE,10,700,1708,169,453,66,37,6,191,216,177,0.265,0.351,0.358,0.975,Catcher,0
BOILERYARD CLARKE,13,950,3346,394,858,111,32,20,429,176,58,0.256,0.311,0.327,0.947,Catcher,0
ROBERTO CLEMENTE,18,2433,9454,1416,3000,440,166,240,1305,621,1230,0.317,0.362,0.475,0.973,Outfield,1
JACK CLEMENTS,17,1157,4283,619,1226,226,60,77,687,339,299,0.286,0.347,0.421,0.937,Catcher,0
DONN CLENDENON,12,1362,4648,594,1273,192,57,159,682,379,1140,0.274,0.331,0.442,0.988,First base,0
HARLOND CLIFT,12,1582,5730,1070,1558,309,62,178,829,1070,713,0.272,0.39,0.441,0.948,Third base,0
TY CLINE,12,892,1834,251,437,53,25,6,125,153,262,0.238,0.304,0.304,0.986,Outfield,0
GENE CLINES,10,870,2328,314,645,85,24,5,187,169,291,0.277,0.331,0.341,0.979,Outfield,0
BILLY CLINGMAN,10,816,2839,410,697,86,31,8,301,303,94,0.246,0.323,0.306,0.919,Third base,0
GIL COAN,11,918,2877,384,731,98,44,39,278,232,384,0.254,0.316,0.359,0.973,Outfield,0
TY COBB,24,3035,11434,2246,4189,724,295,117,1937,1249,357,0.366,0.433,0.512,0.961,Outfield,1
MICKEY COCHRANE,13,1482,5169,1041,1652,333,64,119,832,857,217,0.32,0.419,0.478,0.985,Catcher,1
ROCKY COLAVITO,14,1841,6503,971,1730,283,21,374,1159,951,880,0.266,0.362,0.489,0.98,Outfield,0
NATE COLBERT,10,1004,3422,481,833,141,25,173,520,383,902,0.243,0.324,0.451,0.991,First base,0
DAVE COLLINS,16,1701,4907,667,1335,187,52,32,373,467,660,0.272,0.34,0.351,0.986,Outfield,0
EDDIE COLLINS,25,2826,9949,1821,3312,438,186,47,1300,1499,286,0.333,0.424,0.428,0.97,Second base,1
JIMMY COLLINS,14,1726,6796,1055,2000,353,116,65,983,426,32,0.294,0.344,0.409,0.929,Third base,2
SHANO COLLINS,16,1799,6390,747,1687,310,133,22,709,331,405,0.264,0.306,0.364,0.962,Outfield,0
JOE COLLINS,10,908,2329,404,596,79,24,86,329,338,263,0.256,0.351,0.421,0.99,First base,0
PAT COLLINS,10,543,1204,146,306,46,6,33,168,235,200,0.254,0.378,0.385,0.974,Catcher,0
EARLE COMBS,12,1455,5746,1186,1866,309,154,58,632,670,278,0.325,0.397,0.462,0.974,Outfield,2
CHARLIE COMISKEY,13,1390,5796,994,1531,206,68,29,467,197,84,0.264,0.293,0.338,0.973,First base,0
ADAM COMOROSKY,10,813,2787,404,795,134,51,28,417,214,158,0.285,0.339,0.4,0.972,Outfield,0
DAVE CONCEPCION,19,2488,8723,993,2326,389,48,101,950,736,1186,0.267,0.325,0.357,0.971,Shortstop,0
ROGER CONNOR,18,1997,7794,1620,2467,441,233,138,1322,1002,449,0.317,0.397,0.486,0.978,First base,2
WID CONROY,11,1374,5061,605,1257,176,82,22,452,345,.,0.248,0.3,0.329,0.934,Third base,0
BILLY CONSOLO,10,603,1178,158,260,31,11,9,83,161,297,0.221,0.316,0.289,0.945,Shortstop,0
DUFF COOLEY,13,1316,5364,847,1576,180,102,26,557,365,73,0.294,0.341,0.38,0.945,Outfield,0
JOHNNY COONEY,20,1172,3372,408,965,130,26,2,219,208,107,0.286,0.329,0.342,0.988,Outfield,0
CECIL COOPER,17,1896,7349,1012,2192,415,47,241,1125,448,911,0.298,0.34,0.466,0.992,First base,0
WALKER COOPER,18,1473,4702,573,1341,240,40,173,812,309,357,0.285,0.332,0.464,0.977,Catcher,0
TOMMY CORCORAN,18,2200,8804,1184,2252,289,155,34,1135,382,205,0.256,0.289,0.335,0.924,Shortstop,0
POP CORKHILL,10,1086,4404,650,1120,110,80,31,268,174,80,0.254,0.288,0.337,0.947,Outfield,0
CLINT COURTNEY,11,946,2796,260,750,126,17,38,313,264,143,0.268,0.341,0.366,0.987,Catcher,0
WES COVINGTON,11,1075,2978,355,832,128,17,131,499,247,414,0.279,0.339,0.466,0.961,Outfield,0
